trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
137,False,"{'a': 0.25, 'e': 0.7099931193855512}",30,22,-26.594733408837108,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.25, 'e': 0.7082203534678}",25,0,-185.7260832508741,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
139,False,"{'a': 0.25, 'e': 0.7064520139295634}",25,0,-123.06463613718856,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
140,False,"{'a': 0.25, 'e': 0.7046880897187134}",25,8,-123.50022473069407,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
141,False,"{'a': 0.25, 'e': 0.7029285698107182}",30,0,-39.12670362404371,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
142,False,"{'a': 0.25, 'e': 0.7011734432085724}",20,0,-114.67428409516475,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
143,False,"{'a': 0.25, 'e': 0.6994226989427291}",20,0,-108.01195915377947,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
144,False,"{'a': 0.25, 'e': 0.697676326071031}",25,0,-69.1518422375912,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.25, 'e': 0.695934313678642}",30,0,-77.1963109266832,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.25, 'e': 0.6941966508779789}",35,0,-81.45546070146447,"{0: 24, 1: 0, 2: 11, 3: 0, 4: 0}",0
147,False,"{'a': 0.25, 'e': 0.6924633268086434}",20,0,-80.48381627963605,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
148,False,"{'a': 0.25, 'e': 0.6907343306373547}",20,3,-33.19056504381652,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
149,False,"{'a': 0.25, 'e': 0.6890096515578809}",20,0,-216.27927117198018,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
150,False,"{'a': 0.25, 'e': 0.6872892787909722}",20,0,-23.792781828446852,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.6855732015842932}",20,0,-12.670936521151088,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.25, 'e': 0.6838614092123558}",20,0,-120.17004388058339,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
153,False,"{'a': 0.25, 'e': 0.6821538909764522}",20,8,-29.51907391547274,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.25, 'e': 0.6804506362045877}",30,0,-14.558337804418056,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
155,False,"{'a': 0.25, 'e': 0.6787516342514144}",20,0,-50.10351598909031,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
156,False,"{'a': 0.25, 'e': 0.6770568744981647}",20,0,-124.35601959583778,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
157,False,"{'a': 0.25, 'e': 0.6753663463525845}",30,0,-46.24905978668074,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
158,False,"{'a': 0.25, 'e': 0.6736800392488677}",30,0,-74.07917117517862,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
159,False,"{'a': 0.25, 'e': 0.6719979426475889}",30,0,-61.978413427110816,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.25, 'e': 0.6703200460356393}",25,0,-102.18490887863416,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",0
161,False,"{'a': 0.25, 'e': 0.6686463389261594}",25,0,-143.44858680893148,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
162,False,"{'a': 0.25, 'e': 0.6669768108584744}",20,4,-18.49165444165177,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.25, 'e': 0.6653114513980284}",35,0,-115.44840658209168,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
164,False,"{'a': 0.25, 'e': 0.6636502501363194}",25,0,-250.9362078805748,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 5}",0
165,False,"{'a': 0.25, 'e': 0.661993196690834}",35,0,-128.0889423022344,"{0: 28, 1: 1, 2: 3, 3: 0, 4: 3}",0
166,False,"{'a': 0.25, 'e': 0.6603402807049829}",20,3,-58.44094139370273,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
167,False,"{'a': 0.25, 'e': 0.6586914918480358}",20,0,-70.64639731264559,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
168,False,"{'a': 0.25, 'e': 0.6570468198150567}",20,16,8.507667093078005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.25, 'e': 0.6554062543268405}",20,0,-109.42275960268276,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
170,False,"{'a': 0.25, 'e': 0.6537697851298473}",30,0,-192.65477619850182,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
171,False,"{'a': 0.25, 'e': 0.6521374019961392}",20,0,-25.068877715767226,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
172,False,"{'a': 0.25, 'e': 0.6505090947233165}",30,0,-28.342208413156342,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
173,False,"{'a': 0.25, 'e': 0.6488848531344534}",20,9,-14.67967120368946,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.6472646670780347}",20,0,-61.52776211680081,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
175,False,"{'a': 0.25, 'e': 0.645648526427892}",20,0,-117.93546894311143,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
176,False,"{'a': 0.25, 'e': 0.6440364210831414}",20,10,-19.44724941997274,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.642428340968119}",20,0,-58.907830703771765,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
178,False,"{'a': 0.25, 'e': 0.6408242760323187}",25,0,-58.1590008435723,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
179,False,"{'a': 0.25, 'e': 0.6392242162503299}",20,0,-39.399680912130336,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
180,False,"{'a': 0.25, 'e': 0.6376281516217733}",20,3,-34.82165207539445,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
181,False,"{'a': 0.25, 'e': 0.63603607217124}",20,11,-53.031542433594176,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 1}",1
182,False,"{'a': 0.25, 'e': 0.6344479679482282}",20,0,-33.29617700677578,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
